outflow01,outflow02,outflow03,outflow04,outflow05,outflow06,outflow07,outflow08,outflow09,outflow10
248.83,183.37,198.08,182.41,501.25,989.16,846.04,1257.27,277.67,472.58
243.81,180.71,194.93,180.8,507.1,970.07,824.81,1254.31,275.62,462.26
238.98,178.15,191.89,179.22,512.97,949.96,803.45,1249.72,273.57,452.38
234.33,175.67,188.95,177.68,518.85,928.89,782.13,1243.62,271.52,442.9
229.85,173.27,186.11,176.17,524.75,906.95,760.94,1236.11,269.49,433.81
225.69,171.1,183.36,174.69,530.67,884.18,739.96,1227.33,267.45,425.08
221.61,168.93,180.71,173.24,536.61,860.67,719.22,1217.62,265.43,416.71
217.65,166.8,178.14,171.89,542.59,836.5,698.74,1207.44,263.41,408.67
213.82,164.74,175.66,170.55,548.6,811.98,678.52,1197.15,261.38,400.94
210.12,162.73,173.27,169.21,554.63,787.56,658.66,1186.99,259.37,393.52
206.55,160.77,171.09,167.88,560.69,763.58,639.29,1177.13,257.35,386.4
203.11,158.89,168.93,166.57,566.77,740.27,620.57,1167.65,255.32,379.54
199.78,157.06,166.8,165.29,572.85,717.76,602.56,1158.59,253.29,372.93
196.57,155.29,164.74,164.02,578.91,696.1,585.3,1149.97,251.24,366.57
193.47,153.57,162.72,162.77,584.94,675.31,568.82,1141.79,249.18,360.44
190.48,151.9,160.77,161.54,590.92,655.36,553.09,1134.04,247.11,354.54
187.59,150.29,158.88,160.33,596.85,636.23,538.1,1126.71,245.01,348.84
184.79,148.73,157.06,159.14,602.72,617.9,523.81,1119.77,242.9,343.35
182.09,147.21,155.28,157.97,608.53,600.31,510.19,1113.21,240.78,338.05
179.48,145.74,153.57,156.82,614.29,583.44,497.21,1107.01,238.64,332.93
176.95,144.32,151.9,155.68,619.98,567.24,484.84,1101.15,236.48,327.99
174.51,142.94,150.29,154.56,625.61,551.69,473.04,1095.57,234.3,323.21
172.21,141.61,148.72,153.46,631.18,536.74,461.78,1090.05,232.11,318.59
170.06,140.32,147.21,152.37,636.69,522.36,451,1084.2,229.9,314.12
167.91,139.07,145.74,151.3,642.13,508.52,440.68,1077.67,227.75,309.79
165.81,137.85,144.32,150.24,647.49,495.19,430.78,1070.25,225.56,305.6
163.77,136.68,142.94,149.19,652.77,482.34,421.26,1061.79,223.35,301.54
161.79,135.54,141.6,148.16,657.96,469.95,412.11,1052.24,221.12,297.59
159.87,134.44,140.31,147.14,663.07,457.99,403.3,1041.59,218.89,293.77
158.01,133.37,139.06,146.13,668.09,446.44,394.82,1029.87,216.67,290.15
156.21,132.33,137.85,145.14,673.03,435.28,386.67,1017.12,214.47,286.61
154.46,131.33,136.67,144.16,677.89,424.48,378.79,1003.38,212.28,283.14
